Date,Close,High,Low,Open,Volume,Stock
04-09-2024,816.5,818.6500244,813.6500244,815.4500122,10789570,SBIN.NS
05-09-2024,818.75,822.1500244,814.4000244,818.3499756,8395074,SBIN.NS
06-09-2024,782.5,812.9000244,777,811.5,40220096,SBIN.NS
09-09-2024,784.25,788.2000122,771,785,21322103,SBIN.NS
10-09-2024,782.6500244,788.7999878,777.5,788,12824701,SBIN.NS
11-09-2024,768.5999756,788,765.4000244,780.0499878,20060665,SBIN.NS
12-09-2024,787.75,789.9000244,772.75,775,17578964,SBIN.NS
13-09-2024,790.8499756,795,785.0999756,791,12950936,SBIN.NS
16-09-2024,785.5499878,795,784.4000244,790.8499756,9553736,SBIN.NS
17-09-2024,782.9000244,787.5,780.5499878,785.5999756,10665630,SBIN.NS
18-09-2024,792.75,794.75,782,783.7999878,18324412,SBIN.NS
19-09-2024,789.9500122,801.3499756,784.0499878,795.0499878,10645478,SBIN.NS
20-09-2024,781.7000122,794.8499756,779.5,794.8499756,21372244,SBIN.NS
23-09-2024,801.8499756,805,784.5,786,17309545,SBIN.NS
24-09-2024,798.25,804.25,796.5,799.25,15180653,SBIN.NS
25-09-2024,793.0999756,798,788.7000122,797.9000244,18465571,SBIN.NS
26-09-2024,801.8499756,803,791.5999756,796,23198842,SBIN.NS
27-09-2024,802.6500244,808,798.4500122,801.8499756,15193681,SBIN.NS
30-09-2024,787.9000244,802.5999756,786.4500122,801.9000244,15484573,SBIN.NS
01-10-2024,796.9500122,800.3499756,788,788,13280535,SBIN.NS
03-10-2024,794.0999756,804,784.2999878,789.9000244,15944135,SBIN.NS
04-10-2024,796.6500244,809.8499756,785.25,792,20097454,SBIN.NS
07-10-2024,770.6500244,804,765.4000244,800,24267990,SBIN.NS
08-10-2024,781.4500122,784.4000244,772.25,772.25,8560960,SBIN.NS
09-10-2024,797.4000244,804.3499756,782.0499878,786.7000122,18758697,SBIN.NS
10-10-2024,797.0999756,804.4500122,795,799,10241015,SBIN.NS
11-10-2024,799.75,802.7000122,793,797.2000122,14322720,SBIN.NS
14-10-2024,805.1500244,809.25,800.7999878,802,8967564,SBIN.NS
15-10-2024,804.6500244,807.5,801.5999756,805.5,6252104,SBIN.NS
16-10-2024,805.4500122,809,802.0499878,802.7999878,6494240,SBIN.NS
17-10-2024,811.0499878,819.5,806,809.5,18580553,SBIN.NS
18-10-2024,820.4000244,822.5999756,802.9000244,811.0999756,11704698,SBIN.NS
21-10-2024,813.9500122,826.4500122,809,824.7000122,10359618,SBIN.NS
22-10-2024,790.4000244,816.8499756,787.5,814,16645356,SBIN.NS
23-10-2024,786,792.5999756,779.7999878,790,13866198,SBIN.NS
24-10-2024,794.5499878,797,784.6500244,786.0499878,5607500,SBIN.NS
25-10-2024,780.9500122,800.75,772,798,9717125,SBIN.NS
28-10-2024,792.0499878,803.9500122,783.5499878,783.7999878,13757251,SBIN.NS
29-10-2024,832.7000122,834.8499756,790.5,796,28274791,SBIN.NS
30-10-2024,822.4500122,833,821.0499878,828,15977682,SBIN.NS
31-10-2024,820.2000122,828,813.5499878,820,13402324,SBIN.NS
01-11-2024,821.2000122,825.5999756,818.9000244,822.4000244,1637141,SBIN.NS
04-11-2024,829.8499756,837.5,807.0999756,822.7000122,14498161,SBIN.NS
05-11-2024,849.2000122,851.4000244,826.25,829.8499756,26254561,SBIN.NS
06-11-2024,854.7999878,861.4000244,846.2000122,849.2000122,15002433,SBIN.NS
07-11-2024,859.5999756,862.4000244,846.7000122,861,15283847,SBIN.NS
08-11-2024,843.1500244,863.5,834.2000122,859.5999756,26139105,SBIN.NS
11-11-2024,847.6500244,854,842,846,12621337,SBIN.NS
12-11-2024,826.7000122,853.4000244,824.2999878,852.5,11350729,SBIN.NS
13-11-2024,808.6500244,831.75,804.6500244,823.3499756,13756706,SBIN.NS
14-11-2024,804.25,818,801.0499878,808.6500244,9461484,SBIN.NS
18-11-2024,814.2999878,816.7000122,799.25,811,9322451,SBIN.NS
19-11-2024,803,820.2999878,800.0999756,819,13677029,SBIN.NS
21-11-2024,780.75,798.5,761.5499878,798.5,29486577,SBIN.NS
22-11-2024,816.0499878,819.9500122,784.0499878,786,20665405,SBIN.NS
25-11-2024,844.4500122,849.5999756,825.6500244,827,23434605,SBIN.NS
26-11-2024,839.4000244,846.7000122,835.5499878,844,8893744,SBIN.NS
27-11-2024,834.0999756,842.5,832.0999756,838.5,8375108,SBIN.NS
28-11-2024,838.8499756,845.7999878,830.5,834.0999756,13505677,SBIN.NS
29-11-2024,838.9500122,844.0499878,831.5499878,841.0999756,10822949,SBIN.NS
02-12-2024,836.4000244,842,832.7000122,838.9500122,6651119,SBIN.NS
03-12-2024,853.9500122,856.5999756,836.9000244,838,12186182,SBIN.NS
04-12-2024,859.7000122,864,850.2999878,853.9500122,10749716,SBIN.NS
05-12-2024,865.4500122,871.4500122,855.5999756,860,14716036,SBIN.NS
06-12-2024,863.6500244,875.4500122,857,865.25,14520568,SBIN.NS
09-12-2024,858.0499878,866.8499756,856.9500122,859,9630346,SBIN.NS
10-12-2024,867.5,868.9500122,858.0499878,861.7999878,7379849,SBIN.NS
11-12-2024,861.5999756,869.8499756,860.9500122,867.5,7006973,SBIN.NS
12-12-2024,853.7000122,864.2999878,851.1500244,861.5,8845103,SBIN.NS
13-12-2024,861.5499878,862.9000244,835,852.5999756,9379370,SBIN.NS
16-12-2024,860.9500122,866.4000244,857.7999878,859.7999878,6432713,SBIN.NS
17-12-2024,850.5499878,862.5999756,847.0499878,858.5499878,8791216,SBIN.NS
18-12-2024,838.1500244,852,837,851,8295338,SBIN.NS
19-12-2024,832.7999878,838,820.2000122,824.5999756,9453398,SBIN.NS
20-12-2024,812,836,810,834.9000244,10244198,SBIN.NS
23-12-2024,821.1500244,824,812.2000122,817.2999878,4933200,SBIN.NS
24-12-2024,812.0499878,826.2000122,809.2000122,824.25,10602771,SBIN.NS
26-12-2024,812.4500122,822.8499756,808,813,8318714,SBIN.NS
27-12-2024,799.6500244,818.2999878,797.2000122,816.2999878,10649800,SBIN.NS
30-12-2024,788.2999878,807.9500122,785,802,21515438,SBIN.NS
31-12-2024,794.9500122,799.2000122,786,786.9500122,9086044,SBIN.NS
01-01-2025,793.2000122,798.6500244,789.5,795.5499878,7273098,SBIN.NS
02-01-2025,801.2000122,802.4000244,787,795,11398319,SBIN.NS
03-01-2025,793.4000244,809.5,792.1500244,801.2000122,13336514,SBIN.NS
06-01-2025,776.4000244,797.5999756,773.1500244,797.4000244,11419367,SBIN.NS
07-01-2025,778.75,783.8499756,774.8499756,779.8499756,9669152,SBIN.NS
